source,target,weight
TG 50:0,TG 54:2,0.8419092858684256
CE 22:4,SM 42:4;O2,0.8419375304792408
PC 34:2;O3,PC 40:6,0.8420024302144975
TG 54:8,TG 56:8,0.84204057875446
TG 24:0,TG 26:0,0.8420724465938486
PE O-38:5,PE O-38:6,0.8421303413908507
DG 30:2,TG 46:3,0.8422521772460095
TG 60:6,TG 62:7,0.8422698553482681
PC O-40:6,PC O-42:7.1,0.8422808165222803
TG 43:1,TG 47:3,0.8422914747571617
FA 22:4,FA 22:6,0.8423557498883532
FA 20:1,ST 24:1;O4,0.8423762770127183
TG 38:2,TG 48:3,0.842405298678347
TG 47:2,TG 49:1,0.8424524965994248
DG 36:3,TG 52:5,0.8424813818923838
DG 36:1,TG 54:1,0.8425013919477968
TG 62:2,TG 62:3,0.8425102105581863
DG 49:8,TG 42:2,0.8426079560257616
TG 56:10,TG 58:12,0.842842099388625
TG 54:8,TG 54:9,0.8430605156920576
DG 51:8,TG 50:3,0.8430937772206225
TG 45:3,TG 49:3,0.8432571551206819
TG 58:4,TG 60:4,0.8434413405916248
TG 36:0,TG 39:0,0.8435602184029946
TG 40:1,TG 46:3,0.8435659198633735
FA 18:0,FA 18:2,0.8435884629838469
TG 42:1,TG 42:3,0.8437140738670642
DG 36:4,TG 54:8,0.8437742428630939
TG 50:5,TG 54:6,0.8439564625292284
TG 44:3,TG 46:1,0.8441427170747899
TG 52:7,TG 54:9,0.8441799742030616
TG 38:1,TG 46:1,0.8442020893219296
TG 41:1,TG 46:0,0.8442527323209009
TG 47:4,TG 50:4,0.8442909090831848
TG 50:2,TG 54:2,0.8442998389721474
TG 40:0,TG 42:0,0.8443513984375096
FA 20:2,FA 22:3,0.8445071037455903
DG 28:0,TG 36:0,0.8445322873452339
DG 34:1,TG 50:0,0.8446747945153916
TG 42:2,TG 48:4,0.8447850188224618
PC 40:5.1,PC O-32:3,0.8447933131520672
TG 38:2,TG 44:3,0.8448547984121221
FA 17:0;O2,FA 18:2,0.8449015933080909
