Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1 pair1	decontaminated hg37dec_v0.1 pair2	decontaminated hg37dec_v0.1 orphan1	decontaminated hg37dec_v0.1 orphan2	final pair1	final pair2	final orphan1	final orphan2
J25	20522745.0	20522745.0	20202206.0	20202206.0	201776.0	90739.0	19552030.0	19552030.0	300350.0	188073.0	19552030.0	19552030.0	300350.0	188073.0
J26	20644772.0	20644772.0	20273746.0	20273746.0	239669.0	93702.0	19886969.0	19886969.0	277995.0	129395.0	19886969.0	19886969.0	277995.0	129395.0
J27	19785286.0	19785286.0	19455849.0	19455849.0	201822.0	96333.0	18976188.0	18976188.0	253572.0	145538.0	18976188.0	18976188.0	253572.0	145538.0
J28	22744003.0	22744003.0	22302483.0	22302483.0	275247.0	125208.0	21577579.0	21577579.0	465341.0	315817.0	21577579.0	21577579.0	465341.0	315817.0
J29	20547868.0	20547868.0	20098144.0	20098144.0	265667.0	139492.0	13117338.0	13117338.0	180843.0	101609.0	13117338.0	13117338.0	180843.0	101609.0
J3	22268012.0	22268012.0	21878729.0	21878729.0	240920.0	108075.0	21504584.0	21504584.0	304573.0	168875.0	21504584.0	21504584.0	304573.0	168875.0
J30	22890681.0	22890681.0	22500719.0	22500719.0	229205.0	121891.0	21995427.0	21995427.0	323292.0	213148.0	21995427.0	21995427.0	323292.0	213148.0
J31	20739979.0	20739979.0	20391960.0	20391960.0	199069.0	113228.0	19932504.0	19932504.0	250662.0	159204.0	19932504.0	19932504.0	250662.0	159204.0
J32	21500604.0	21500604.0	21205988.0	21205988.0	150218.0	119652.0	20061493.0	20061493.0	289997.0	251055.0	20061493.0	20061493.0	289997.0	251055.0
J33	21972477.0	21972477.0	21575528.0	21575528.0	240495.0	117662.0	19320311.0	19320311.0	348485.0	232832.0	19320311.0	19320311.0	348485.0	232832.0
J34	21856646.0	21856646.0	21510678.0	21510678.0	209161.0	106707.0	20036505.0	20036505.0	307725.0	207955.0	20036505.0	20036505.0	307725.0	207955.0
J35	21788754.0	21788754.0	21355317.0	21355317.0	264889.0	123431.0	18031310.0	18031310.0	318787.0	196683.0	18031310.0	18031310.0	318787.0	196683.0
J36	21262210.0	21262210.0	20916879.0	20916879.0	188304.0	124716.0	20150686.0	20150686.0	275345.0	208676.0	20150686.0	20150686.0	275345.0	208676.0
J37	21527089.0	21527089.0	21175620.0	21175620.0	205383.0	109730.0	20835282.0	20835282.0	256406.0	157597.0	20835282.0	20835282.0	256406.0	157597.0
J38	19899923.0	19899923.0	19569393.0	19569393.0	196140.0	101685.0	18983349.0	18983349.0	355905.0	257756.0	18983349.0	18983349.0	355905.0	257756.0
J39	20680172.0	20680172.0	20337088.0	20337088.0	201095.0	106882.0	19757175.0	19757175.0	319781.0	220900.0	19757175.0	19757175.0	319781.0	220900.0
J4	21101714.0	21101714.0	20672941.0	20672941.0	281527.0	107671.0	20050053.0	20050053.0	413357.0	239748.0	20050053.0	20050053.0	413357.0	239748.0
J40	20776937.0	20776937.0	20411003.0	20411003.0	231613.0	101730.0	19859194.0	19859194.0	342434.0	210513.0	19859194.0	19859194.0	342434.0	210513.0
J41	21594630.0	21594630.0	21181733.0	21181733.0	227594.0	142666.0	14316091.0	14316091.0	175144.0	121093.0	14316091.0	14316091.0	175144.0	121093.0
J42	20273436.0	20273436.0	19963478.0	19963478.0	179705.0	100307.0	19413380.0	19413380.0	310673.0	227726.0	19413380.0	19413380.0	310673.0	227726.0
J43	22237331.0	22237331.0	21887508.0	21887508.0	188788.0	126793.0	19900186.0	19900186.0	279988.0	218513.0	19900186.0	19900186.0	279988.0	218513.0
J44	20830009.0	20830009.0	20516756.0	20516756.0	179208.0	105799.0	19933093.0	19933093.0	283761.0	207070.0	19933093.0	19933093.0	283761.0	207070.0
J45	20494021.0	20494021.0	20160177.0	20160177.0	187936.0	112766.0	19552464.0	19552464.0	238656.0	162232.0	19552464.0	19552464.0	238656.0	162232.0
J46	23013779.0	23013779.0	22571423.0	22571423.0	261262.0	147052.0	21817222.0	21817222.0	446357.0	330937.0	21817222.0	21817222.0	446357.0	330937.0
J47	22750781.0	22750781.0	22263798.0	22263798.0	281805.0	174322.0	5228311.0	5228311.0	55781.0	43906.0	5228311.0	5228311.0	55781.0	43906.0
J48	24158434.0	24158434.0	23490865.0	23490865.0	393800.0	217260.0	10064784.0	10064784.0	174308.0	117433.0	10064784.0	10064784.0	174308.0	117433.0
J49	22942734.0	22942734.0	22384682.0	22384682.0	358209.0	151015.0	21672800.0	21672800.0	551624.0	348795.0	21672800.0	21672800.0	551624.0	348795.0
J5	17380599.0	17380599.0	16948374.0	16948374.0	274556.0	122003.0	7795312.0	7795312.0	143304.0	72770.0	7795312.0	7795312.0	143304.0	72770.0
J50	23448549.0	23448549.0	22917648.0	22917648.0	343604.0	142427.0	22179353.0	22179353.0	528497.0	328908.0	22179353.0	22179353.0	528497.0	328908.0
